사업장명,소재지전화,소재지전체주소,좌표정보(x),좌표정보(y)
용인대부자태권도장,043-217-9679,충청북도 청주시 청원구 주성동 337 대원칸타빌3차아파트,244687.323021,352283.16981
강호 프로짐,062-523-6070,광주광역시 북구 운암동 357-7,188541.026519,186684.846644
죽산 태권도 합기도 교육관,031-677-8203,경기도 안성시 죽산면 죽산리 471-10,237601.665014077,397382.674764472
행복한검도관,041-574-9291,충청남도 천안시 동남구 신방동 785-37 신방웰빙타운,210825.037622,365366.251618
유성합기도장(신제주도장),064-748-5300,제주특별자치도 제주시 노형동 1064-1,151308.260013,-821.598949017
신사아카데미 합기도·유도·키즈짐,043-277-5336,충청북도 청주시 서원구 사창동 360-53,241641.776359,348181.484715
강무관 합기도 평내도장,031-521-7782,경기도 남양주시 평내동 603 씨티프라자 504호,220887.967865619,460148.276739129
청수검도관,041-566-4775,충청남도 천안시 동남구 청당동 496,213646.729966,364675.473572
대한검도 강무검도관,041-592-0770,충청남도 천안시 서북구 불당동 1537 퍼스트프라자,209601.306301,368028.718481
광적무예마루 멀티짐,031-855-3177,경기도 양주시 광적면 석우리 720-5 201호,198458.830901622,480460.010722368
용인대 남부태권도장,032-516-0076,인천광역시 부평구 부평동 760-113,174959.617354177,442877.86565355
공도관 제8관,02-2653-8882,서울특별시 양천구 목동 725-3,187950.024484064,448432.130156577
차돌체육관,043-283-3422,충청북도 청주시 서원구 수곡동 777,242194.124519,346503.85486
슈퍼스타 합기도,041-534-7790,충청남도 아산시 용화동 1451,200709.656517,363397.336021
강무관 옥정 합기도,031-864-7780,경기도 양주시 옥정동 963-18,208211.569409,479559.894066587
강무관 합기도,031-529-3289,경기도 남양주시 진접읍 금곡리 974-1,217300.778175889,468638.537070164
현대체육관,063-571-4447,전라북도 정읍시 신태인읍 신태인리 48 청소년공부방,190105.915089,243366.151981
사랑가득 합기도,031-941-9440,경기도 파주시 목동동 1054-3,177038.592624736,469080.293942899
용인대 백호 태권도장,031-946-6767,경기도 파주시 동패동 1899-1,176853.302871588,467676.123809767
엘림 체육관,061-554-4006,전라남도 완도군 노화읍 이포리 684-10,160217.843843,75560.3923839
국민대경호태권도장,246-5222,경기도 수원시 장안구 송죽동 398-4 2층,200242.218784823,421581.013049292
시흥능곡 고잔유도 체육관,031-315-8880,경기도 시흥시 능곡동 727 서일프라자,183071.89746524,429707.25494755
무림합기도,031-321-1601,경기도 용인시 처인구 역북동 750 501호,216563.473745019,414557.403795769
용맹합기도,051-201-1562,부산광역시 강서구 명지동 3597-4,373751.359364157,178895.632964732
합기도 연무관,02-6449-1515,서울특별시 성북구 종암동 3-1342 청한빌딩,202819.871767584,455458.024657239
김해에치제이센터,055-312-1102,경상남도 김해시 삼계동 301-6,369562.252048191,197583.99810093
합기도다윗체육관,061-282-7765,전라남도 목포시 옥암동 1030 3층,147779.365107,145122.791205
합기도 백호 체육관,033-574-9074,강원도 삼척시 정상동 459-9 대금,392680.817648762,440419.60939773
아이랑 태권도,062-575-8833,광주광역시 북구 연제동 217,187954.697836,188436.395832
합기도 연무관,02-928-0202,서울특별시 성북구 동소문동7가 2-8,201287.875251645,454865.115075914
흑추관 합기도,935-2280,대전광역시 유성구 송강동 208-1,234254.04743,325450.007789
필살 합기도,041-355-7400,충청남도 당진시 읍내동 192-7,167307.033465,376623.77883
드림도장,055-391-6005,경상남도 밀양시 하남읍 수산리 814-69 2층,355230.631291158,209769.632013669
고덕 호림 합기도,02-429-3885,서울특별시 강동구 고덕동 645-4,213396.994238622,450759.334585416
"대호 합기도, 해동검도",031-542-5665,경기도 포천시 소흘읍 송우리 728-26,211911.207922359,480389.581623256
"포천 합기도, 주짓수",031-535-0774,경기도 포천시 신읍동 116-37 보성빌딩,217058.107641421,488133.333660597
무림 합기도,031-8016-8844,경기도 성남시 분당구 판교동 590 티에스로드2,208031.730776591,431939.457332015
명지대동문 합기도 연무관,02-6104-6124,서울특별시 강동구 천호동 233-34 인성빌딩,211955.138746228,449582.786228833
해동검도 합기도,055-388-7774,경상남도 양산시 동면 석산리 1449-4 4층 401호,384081.390086089,204184.190806887
AST복싱,031-427-5137,경기도 의왕시 오전동 230 성원1차이화아파트,197278.488479294,428497.443191575
명지체육관,041-735-9139,충청남도 논산시 강산동 643 상가동 301호,207882.928864,299171.898908
국제체육관,063-543-5933,전라북도 김제시 검산동 820-4,191298.423342,255321.554445
동아대 빛 태권도,051-916-1608,부산광역시 기장군 기장읍 교리 342-1 4층,401700.977668733,197225.428332524
비연합기도,055-232-7233,경상남도 창원시 마산회원구 내서읍 호계리 53-2 코코프라자,338486.905618914,197404.47014882
권창재복싱클럽,02-429-4037,서울특별시 송파구 거여동 32-5 윤정빌딩,213090.446132803,443395.509636603
T-마스터 태권도(송천관),0632711118,전라북도 전주시 덕진구 송천동1가 686-1,210249.91386,262174.432843
바른아이 태권도,051-265-1002,부산광역시 사하구 구평동 517 e편한세상 사하1차,381124.222989533,177436.655876843
청도태권도,043-288-8008,충청북도 청주시 상당구 금천동 275 장자마을 부영아파트 상가동 201호,245413.305463,347709.127821
용인대타이곤태권도장,031-752-6444,경기도 성남시 수정구 창곡동 513-2 우성메디피아,213219.0,441174.0
VTA청담수련관,02-518-2073,서울특별시 강남구 청담동 118-18 대청빌딩,204125.830628314,447028.896326019
청도태권도,043-283-7008,충청북도 청주시 상당구 용담동 398,245202.112408,347883.603502
하랑태권도장,0519737330,부산광역시 강서구 지사동 1198-3,366932.434992774,184936.460415599
리틀타이거태권도장,055-343-6777,경상남도 김해시 진영읍 진영리 1691 진영 이진 캐스빌,356745.330731124,202626.50993202
용인대 한겨레 태권도,063-466-4670,전라북도 군산시 지곡동 42-5 해나지오아파트,174025.885878,272268.873528
투혼 팀스피릿,051-543-0112,부산광역시 기장군 정관읍 모전리 740-2 2층,396963.085373844,206129.356939462
TH 용인대 유도클럽,032-469-6959,인천광역시 남동구 서창동 664-2,177853.872853773,435798.134761195
계명대 석사 권투,053-631-6262,대구광역시 달서구 월성동 86 월성주공아파트2단지 나동 303호,338081.698879,259892.692613
계명대 경신태권도장,0537822228,대구광역시 수성구 범물동 1332 신화에덴아파트,348169.537125,258915.520284
천인합기도,02-802-8891,경기도 광명시 하안동 33-1 다래빌딩,189265.065109184,440127.499770497
히어로즈키즈펀태권도장,031-264-8253,경기도 용인시 수지구 동천동 121-3 레이크,208166.811100913,427040.284764574
화승합기도&주짓수,051-898-1034,부산광역시 부산진구 당감동 738-3 아시아드빌딩상가,385544.179921632,187289.073170804
한체대 힘찬태권도장,02-406-7771,서울특별시 송파구 거여동 234 e편한세상 송파 파크센트럴 207동 상가 B03호,213211.088211141,443430.11841283
포스코성신태권도,051-914-6987,부산광역시 강서구 명지동 3598-2 플러스타워,373676.555658942,178835.487786525
한뉘 검도관,033-252-5594,강원도 춘천시 동면 만천리 609 지하1층,267472.830388049,486481.377446604
세움태권도,062-972-1001,광주광역시 광산구 쌍암동 695-1 상가 201호,186634.461908,190813.833193
바름태권도,061-882-8880,전라남도 담양군 담양읍 담주리 87-1,198302.815864,202372.707567
하늘내린 태권도장,033-461-7666,강원도 인제군 인제읍 상동리 31-2,303071.939502236,508166.947863361
정함 체육관,031-926-2003,경기도 고양시 일산동구 사리현동 1-9,187063.631359507,465743.111977286
진근홍복싱센터,061-818-1211,전라남도 광양시 중동 1728-5,263578.769651,160852.326849
한국체대 킴스태권도장,033-652-7900,강원도 강릉시 초당동 155-3,368658.962594506,477511.081699516
권선체육관,031-235-0042,경기도 수원시 권선구 권선동 1187-1 신현대아파트,202322.99594889,416583.086760008
경희대 홍산 태권도장,063-224-3074,전라북도 전주시 완산구 효자동3가 1689-6,209097.15,257865.25
용인대삼성태권도장,043-877-1781,충청북도 음성군 대소면 태생리 526,243770.149846,385083.51683
위너 태권 아카데미,032-348-0118,경기도 부천시 소사본동 244-66 동문밀리언상가,182343.654754278,441529.004386762
스타체육관,031-495-1170,경기도 안산시 단원구 원곡동 846-3 라성프라자 C동 103호,182294.985340242,425039.319016326
오연지 복싱 아카데미,02-371-1287,경기도 고양시 덕양구 신원동 622,190129.601766053,462427.90034555
용인대백제합기도무술관,063-273-0860,전라북도 전주시 덕진구 송천동1가 834-3,210297.565781,262554.295639
한반도태권도장,055-231-5345,경상남도 창원시 마산회원구 내서읍 호계리 790-124 코오롱그랜드쇼핑,338340.773898114,196858.687330405
경남 합기도,055-542-9351,경상남도 창원시 진해구 여좌동 761-3 동호빌딩,351690.587930808,184999.954524305
대한체육관,231-0690,경상남도 창원시 마산회원구 내서읍 삼계리 34 대동아파트,336727.285495553,193417.344012522
무림합기도,055-545-6006,경상남도 창원시 진해구 풍호동 83-3 우성종합상가,355164.783213512,183476.176409855
봉연관교방도장,055-222-6264,경상남도 창원시 마산합포구 교방동 513 경남은행,342184.522642519,191904.913525911
챌린지 무예스쿨,055-299-1331,경상남도 창원시 마산회원구 석전동 233-4,343623.653963998,193741.047380028
현동검도관,055-222-8332,경상남도 창원시 마산합포구 현동 707,341887.578286582,184259.354403958
한국무술3관,055-296-5968,경상남도 창원시 의창구 동읍 용정리 20-7,355120.369425634,198631.176090604
선비무관,055-552-6149,경상남도 창원시 진해구 용원동 1211-11 형제빌딩,364953.356902329,179499.604472679
이흥덕 유도 체육관,02-997-6636,서울특별시 도봉구 쌍문동 80-60 하이준빌딩,203146.880817352,461085.178231425
합기도 봉연관 의창도장,055-294-9496,경상남도 창원시 의창구 서상동 233-1 일심골든타워 304호,347145.606341809,197066.26132352
북성 합기도,055-543-5433,경상남도 창원시 진해구 마천동 146-1 청안그린빌아파트,362364.326488081,182383.60373408
감계태권도장,055-296-5567,"경상남도 창원시 의창구 북면 감계리 225-1 425동 B201,B202호",344011.741853445,201411.857533106
국술원 대산도장,055-299-0425,경상남도 창원시 의창구 대산면 가술리 383-12,355218.968525039,205249.032217309
청운합기도,055-276-2033,경상남도 창원시 의창구 봉곡동 62-10,350861.238340007,195330.107524705
용인대드래곤태권도장,055)547-1010,경상남도 창원시 진해구 장천동 422-6 이엠시티빌딩 402호,355476.459143367,182600.537940976
화랑제1체육관,055-222-7573,경상남도 창원시 마산합포구 산호동 49-35 1층,343751.435688412,192156.261826106
합기도 진무관,055-552-8887,경상남도 창원시 진해구 자은동 136-3,356135.479670616,185314.482252856
마산삼보종합체육관,055-231-8128,경상남도 창원시 마산회원구 내서읍 호계리 790-124 코오롱그랜드쇼핑,338340.773898114,196858.687330405
미션무예합기도,055-298-6325,경상남도 창원시 의창구 북면 감계리 1127,344505.462969517,201441.887817683
드림태권도장,055-292-9970,경상남도 창원시 의창구 북면 감계리 225-2 창원감계푸르지오 상가1동 207~208호,344132.313609152,201299.004552363
명성mba태권도,055-271-9565,경상남도 창원시 마산합포구 진동면 진동리 425-11 2층,335557.325665977,181023.517541365
신항 석봉 태권도장,551-5559,경상남도 창원시 진해구 용원동 1338-3,365134.311179441,177930.091669791
한백늘푸른태권도장,055-243-0204,경상남도 창원시 마산합포구 현동 530,341682.659081839,184069.340824042
진해복싱센터,055-547-1213,경상남도 창원시 진해구 자은동 138-1 자은동 ACE빌딩 501호,356055.566597895,185369.435732383
아리랑태권도장,055-246-3313,경상남도 창원시 마산합포구 현동 711,341920.197629725,184191.558657825
학송합기도,062-946-1441,광주광역시 광산구 우산동 1602-2 리버힐아파트,182276.596208,184446.560423
태권도대한체육관,542-4758,경상남도 창원시 진해구 성내동 370-19,359404.893924238,180470.993559147
승리체육관,253-3890,경상남도 창원시 마산회원구 구암동 85-4 3층,345468.325448814,195645.732962269
충무체육관,542-7723,경상남도 창원시 진해구 인사동 7-135,351804.689697098,184749.391939576
합기도 체육관,032-567-6708,인천광역시 서구 당하동 1028-17 희림타워 605호,173330.681919756,454581.16213
하랑 합기도장,032-614-1255,경기도 부천시 송내동 463-62,179324.842754882,441933.669303278
샤이닝,0323246040,경기도 부천시 중동 1208-2,179703.027619945,443663.555806529
합성체육관,295-7237,경상남도 창원시 마산회원구 합성동 114-4 1층,344067.06052527,194978.010918236
중앙도장,255-5930,경상남도 창원시 마산회원구 양덕동 64-2 1층,343973.773953033,193560.122816073
용광 태권도장,544-1834,경상남도 창원시 진해구 청안동 471 해인로즈빌아파트,364602.736354467,180129.620885323
수호복싱클럽,02-396-0010,서울특별시 서대문구 홍제동 308-213,194883.569008781,453960.342665097
맘에든태권도장,055-724-0440,경상남도 김해시 주촌면 선지리 986-5 201호,367840.36426998,193903.040312692
Dream of Judo 음성유도관,043-750-7549,충청북도 음성군 금왕읍 무극리 510-1,252365.139251,387983.432822
(Dream of Judo)노은유도관,042-486-0608,대전광역시 유성구 지족동 897-4,228351.503853,319344.782434
토월 소나무향기태권도장,055-262-3130,경상남도 창원시 성산구 사파동 12-6,354656.998529145,193235.365298033
광용태권도장,276-9555,"경상남도 창원시 의창구 소답동 145-1 소답상가 201,202호",348081.043031754,197555.500673717
세계태권도장,055-277-8775,경상남도 창원시 의창구 도계동 342-4,348941.643326299,196779.163346098
라온동양체육관,248-3312,경상남도 창원시 마산합포구 완월동 471-5 201호,341788.260386116,189667.678636428
바른 태권도장,032-880-1742,경기도 안산시 단원구 대부북동 675-2 301호,162373.338243764,416137.57506719
태권도까치체육관,055-284-1105,경상남도 창원시 성산구 반지동 27 까치상가 201,351610.711931504,195197.502549929
국가태권도학교,055-287-9333,경상남도 창원시 성산구 상남동 52-9,353818.791623915,191971.159860442
태극체육관,055-288-5088,경상남도 창원시 의창구 명서동 75-8 부강상가 3층2호,349760.136491381,195645.796984983
용지태권도장,055-266-0308,경상남도 창원시 성산구 중앙동 25-1,352231.478025124,193408.465520095
라온태권도장,055-262-5588,경상남도 창원시 성산구 사파동 141 삼익아파트상가 307,354106.484714513,192692.67852983
용인대화랑합기도,032-583-9425,인천광역시 서구 석남동 583,170859.096617252,444586.488426184
대호체육관,055-263-7455,경상남도 창원시 성산구 상남동 64-3 대호상가 201호,352702.666150218,192158.810973797
남산동양태권도,055-283-0272,경상남도 창원시 성산구 남산동 601-25 대운상가 503호,354557.262017373,190385.075949624
황제태권도장,055-261-8856,경상남도 창원시 성산구 상남동 45-1 성원종합상가 6층 604호,353991.929834671,192136.233221508
하늬바람태권도장,055-281-0775,경상남도 창원시 성산구 대방동 375 대방2차덕산타운상가 301호,355572.059677928,190803.243679842
해를담은태권도,055-286-8118,경상남도 창원시 성산구 사파동 93 동성상가A-310,355105.928564709,192476.072037183
고려대마루한태권도,256-3957,경상남도 창원시 마산회원구 석전동 233-9 한일빌딩 503호,343633.31045362,193659.238903547
셀리키즈태권도,281-8585,경상남도 창원시 성산구 남양동 22 경동스포렉스 402호,355035.945871043,191663.616439791
사림극동체육관,055-267-5588,경상남도 창원시 의창구 사림동 105-1 사림프라자  209~210호,352648.773452798,195530.708405369
용인대 유도센터,031-762-1101,경기도 광주시 중대동 16-53,220496.980473648,432388.539409911
유림체육관,286-7770,경상남도 창원시 성산구 신촌동 21-7 동부상가 3층,348211.328074747,190702.500663246
북면동양체육관,055-299-5487,경상남도 창원시 의창구 북면 신촌리 919-4,346075.460508218,206366.026337468
봉곡중앙체육관,055-288-0003,경상남도 창원시 의창구 봉곡동 79-15,350989.52482522,195359.208216846
리틀짐태권도장,544-5060,경상남도 창원시 진해구 풍호동 773-2,355224.869309684,183974.532289296
태권도팔용황제체육관,055-255-5480,경상남도 창원시 의창구 팔용동 124-2 405호,347001.185926615,196266.657999607
라온태권도 체육관,055-277-1670,경상남도 창원시 의창구 도계동 323-9 2층,349101.06898989,196925.926885422
화랑 제2체육관,055-271-4900,경상남도 창원시 마산합포구 진동면 진동리 273-1,335453.394254552,180487.209436088
대인검도관,232-5651,경상남도 창원시 마산회원구 내서읍 삼계리 8-1,336589.974379343,193940.703826624
Viva 유도,033-572-9221,강원도 삼척시 남양동 24-10 대한타운,391526.914210643,440212.822142668
미래검도.레포츠클럽,221-6006,경상남도 창원시 마산합포구 해운동 13-13,341860.47811807,187801.267492624
마산검도관,223-7142,경상남도 창원시 마산합포구 해운동 5-106,342023.674493042,187750.319109459
수심검도관,299-0054,경상남도 창원시 마산회원구 합성동 129-12,344251.629922709,194884.270345359
백로체육관,232-2077,경상남도 창원시 마산회원구 내서읍 중리 1054 백로상가 405호,336985.722015023,194852.830730057
태권도문화체육관,222-7267,경상남도 창원시 마산합포구 월남동4가 5-4 지하1층,341935.355643788,188135.586504213
화랑제33체육관,055-223-1210,"경상남도 창원시 마산합포구 중앙동2가 1-429 경동메르빌 상가 302,303호",342769.790875288,189518.886361809
한마제5체육관,232-7080,"경상남도 창원시 마산회원구 내서읍 삼계리 507-5 야흥빌딩302호,303호",336154.609808353,193315.262356548
국기태권도장,055-281-2220,경상남도 창원시 성산구 대방동 355 성원3차아파트상가,355345.158946657,191953.984254074
KTC다온익스트림태권도장,055-232-7100,경상남도 창원시 마산회원구 내서읍 삼계리 22-4 청운상가 3층,336780.141918051,193752.841999081
화랑제13체육관,055-243-0381,경상남도 창원시 마산합포구 산호동 18-11,344142.813460221,191937.749104326
보성태권도,055 264 1871,경상남도 창원시 성산구 남양동 20 상가 504호,354757.63613998,191526.422418199
국제inG(아이엔지)태권도장,055-311-5063,경상남도 김해시 외동 1249-4,369609.00276352,194003.98360604
한마제3체육관,055-221-5878,경상남도 창원시 마산합포구 중앙동2가 8-5 덕양빌딩 5층,342449.775093094,189214.485887566
극동본관체육관,055-266-0076,경상남도 창원시 성산구 내동 456-14 동우상가 502,351888.28916389,192170.310536047
신라체육관,055 275 1008,"경상남도 창원시 성산구 남양동 23 위드파크아파트상가 302,303호",355099.671451953,191434.675098906
용인대 태권도장,055-252-3330,경상남도 창원시 의창구 팔용동 123-2 원풍벽산아파트내 5층 2호,347290.443088331,196123.877786215
동양체육관,055-295-3386,경상남도 창원시 의창구 팔용동 124-2 창대빌딩 201,347001.185926615,196266.657999607
호암체육관,546-6014,경상남도 창원시 진해구 경화동 1181-5,353514.118281148,185500.904308414
품태권도장 창원반림점,055-283-8777,경상남도 창원시 성산구 반림동 4-1 2층 206호,352378.974082791,194366.627904446
우수태권도체육관,246-8811,경상남도 창원시 마산합포구 월영동 703-2 월영대동상가 403호,341862.565103163,187325.561449478
푸른솔한진태권도교육관,242-8866,경상남도 창원시 마산합포구 대성동1가 10-15 2층,342118.112038112,189324.291367883
품태권도장 성주점,055  2741044,경상남도 창원시 성산구 성주동 153 유니온빌리지 상가 404호,356109.552142601,190326.834066852
운암태권도,062-515-0076,광주광역시 북구 운암동 1016-6 3층,188183.214651,186671.309805
용인대 바른 태권도장,031-541-0328,경기도 포천시 소흘읍 송우리 257-5 포천송우 서희 스타힐스 402호,212825.836986109,481586.676394596
용호 익스트림 합기도,041-832-6118,충청남도 부여군 부여읍 구아리 153-1,192064.239402,309142.691381
용인대 대한태권도,02-971-2442,서울특별시 노원구 하계동 274-1 웅천종합상가,206202.853230578,458984.510992729
경찰경호무술관,055-853-2020,경상남도 사천시 정동면 예수리 540-1,298997.965908638,175281.840193261
하당비룡태권도장,061-283-5129,전라남도 목포시 옥암동 971-3 2층,147714.880611,145702.711472
으라차차 복싱부,032-676-1702,경기도 부천시 삼정동 293-31,179579.981240815,446005.525863639
흑추관 무도 아카데미,488-7879,대전광역시 서구 갈마동 728,233011.93442,317421.503065
중앙1태권도,266-0233,"경상남도 창원시 의창구 명서동 27 두산위브주상가 210,212호",349592.741823196,196068.96965169
태극태권도장,055-231-3993,경상남도 창원시 마산회원구 내서읍 삼계리 302-1,336709.046363265,192484.008982295
소계중앙체육관,055-295-8268,경상남도 창원시 의창구 소계동 716-24 2층,345426.459359548,196545.472102259
무궁화 태권도장,243-7855,경상남도 창원시 마산합포구 자산동 329-1 자산한우아파트 8동 3호,341919.242378336,190353.20109258
강산유아체능단 태권도장,053-782-2001,대구광역시 수성구 지산동 1273 지산협화맨션,347792.175963,259143.923757
대한동양체육관,243-3386,경상남도 창원시 마산합포구 교방동 282-8,342506.847981067,191544.233759845
샘보체육관,297-5868,경상남도 창원시 마산회원구 합성동 316-41 301호,344660.468716057,194756.63757922
yes스포츠아카데미 복싱,070-7527-8881,경상남도 창원시 의창구 사림동 53-10 4층 일성빌딩,353624.619063861,194934.009985733
내서검도관,055-293-4301,경상남도 창원시 마산회원구 내서읍 호계리 486-15,338325.283716856,197422.00249504
한진태권도장,055-221-3947,경상남도 창원시 마산합포구 해운동 37-4 대동씨코아 437호,342254.943847044,187846.078472268
장안유도관,051-727-7760,부산광역시 기장군 장안읍 길천리 202-3 1층,407413.951209968,205652.426376355
비연무예태권도,055-277-7003,경상남도 창원시 성산구 성주동 102 한림푸르지오상가 304.305호,355628.670789477,190524.095365776
창원한백태권도장,055 263 6999,경상남도 창원시 성산구 가음동 7-1 중온빌딩 401.402호,353738.5147542,191370.345094121
용인대 가고파 태권도장,256-3777,경상남도 창원시 마산회원구 양덕동 84-1 메트로시티,344015.397493501,193097.572506689
동아대 고려태권도장,055-544-5004,경상남도 창원시 진해구 마천동 101-1 웅동우체국,362514.192973819,182134.17150742
태랑태권도,055)551-1401,경상남도 창원시 진해구 석동 200-6,355024.333160469,185212.910404002
나다운태권도장,055-541-2365,경상남도 창원시 진해구 풍호동 659-2,355149.891644565,183347.577096545
현무태권도장,055-276-0626,경상남도 창원시 의창구 도계동 417-4,349275.657363224,196419.507816938
봉곡동양태권도,055-265-0942,경상남도 창원시 의창구 봉곡동 70-8,350920.306153148,195561.570165412
한솔태권도장,262-4664,경상남도 창원시 성산구 남양동 22 경동스포렉스 306호,355035.945871043,191663.616439791
국선검도관,055-277-7701,경상남도 창원시 의창구 도계동 324-9 지하,349006.16988888,196932.097701515
우리태권도스쿨,267-6525,"경상남도 창원시 성산구 반림동 10 노블파크 분구상가 2동 205,206,207호",351713.847075056,194292.84252985
천일체육관,282-8777,경상남도 창원시 성산구 반림동 15 노블파크주구중심상가동 409-411호,351896.01743781,194111.813017387
송창체육관,055-253-7704,경상남도 창원시 의창구 동읍 신방리 478 쇼핑타운,352474.519664612,200538.775323662
동아대승리태권도장,055-542-1188,경상남도 창원시 진해구 수송동 12-9 2층,350860.220927729,184838.188050406
대호체육관,289-9010,경상남도 창원시 성산구 사파동 139 사파대동상가 303호,354150.769954642,192754.588312201
부림체육관,055-273-3777,"경상남도 창원시 의창구 명서동 75-16 501-2호, 503호",349756.873531884,195594.805564507
미르태권도장,055-293-1591,경상남도 창원시 의창구 팔용동 101 팔용종합상가 503호,346765.10797525,196304.368084457
MTA태권도장,055-299-4555,경상남도 창원시 의창구 팔용동 104-3 화성빌딩 501호,346648.521482788,196239.97224553
MBA 청룡태권도장,055-237-5800,경상남도 창원시 의창구 도계동 324-5 2층,349048.982532214,196874.43503702
NJ 복싱 체육관,070-4102-1292,경상남도 창원시 진해구 자은동 407-4 안성명작빌라 B동 101호,355768.622732426,184576.926257926
정다움 태권도장,545-4626,경상남도 창원시 진해구 석동 663-2 201호,355575.786851752,185192.342725989
고려태권도교육관,551-3121,"경상남도 창원시 진해구 용원동 1211-2 마이더스 503,504호",364980.120433439,179561.886771739
강해라 태권도장,551-7997,경상남도 창원시 진해구 자은동 657-40 2층,355340.506642782,183892.406561634
대룡태권도본관,055-266-2799,경상남도 창원시 성산구 대방동 358 대동훼미리 306,355532.6901388,191537.615415525
한백체육관,055-246-8995,"경상남도 창원시 마산합포구 교방동 511 교방프라자 306호,307호",342178.287052249,191947.690451564
충렬 태권도장,055-544-8575,경상남도 창원시 진해구 석동 601-11,354313.73464093,185633.218485396
감사랑 리더십 태권도장,232-5855,경상남도 창원시 마산회원구 내서읍 삼계리 22-1 3층,336775.428895062,193806.968130345
한마합포체육관,055-243-2873,경상남도 창원시 마산합포구 산호동 323-2 가야빌딩 201호,344234.541392739,191277.635038153
보성태권도전문도장,544-6264,경상남도 창원시 진해구 경화동 1400 경화더아) 상가동 301호,352919.462776254,185864.438536272
우정태권도장,271-6688,경상남도 창원시 마산합포구 진동면 진동리 529-1,335714.90894577,180823.78281274
대동체육관,285-3020,경상남도 창원시 성산구 상남동 45-1 스카이웰빙파크 4층 415호,353991.929834671,192136.233221508
화랑제11체육관,055-264-4800,"경상남도 창원시 성산구 안민동 108 402호, 403호",354032.932365113,188666.579521101
베스트빅토리 리틀다윗태권도스쿨,055-544-9779,경상남도 창원시 진해구 자은동 388-10,355728.072270757,184640.627140339
소답극동체육관,055-256-9507,경상남도 창원시 의창구 소답동 144-2 보람아파트상가 201호,348100.721506605,197473.618418661
극동제2체육관,552-2926,"경상남도 창원시 진해구 용원동 1209 코아루아파트 상가동301호,302호",364783.724865941,179499.711873351
현무태권도장,055-276-0488,경상남도 창원시 의창구 명서동 130-17 지하,349580.019952215,195074.007879437
한진태권도장,231-7887,경상남도 창원시 마산회원구 내서읍 삼계리 270-8 삼계이미지빌딩 404호,336843.545509965,192800.084472963
미래태권도,282-7712,경상남도 창원시 성산구 반림동 17-9 3층 305호,352078.381388813,194234.704691713
창원검도관,238-2484,경상남도 창원시 성산구 반지동 80-4 지하1층,351304.951587791,194727.027927987
화랑 제 22태권도장,055-547-14++,경상남도 창원시 진해구 자은동 834-5,355561.46751374,184443.761455727
구암 합성 체육관,255-6544,경상남도 창원시 마산회원구 구암동 270-2 2층,345168.779386568,196175.474931489
우림태권도장,055-275-1118,"경상남도 창원시 성산구 안민동 197 대동청솔상가(11동) 301호,302호",353715.061513027,189039.936349224
북성태권도체육관,251-7973,경상남도 창원시 마산회원구 석전동 203-10 일우근주A상가 307호,342739.31072138,193684.706799696
경남유도관,232-2340,경상남도 창원시 마산회원구 내서읍 삼계리 21 현대상가 1호,336700.202743027,193687.184068476
한국복타 협동조합,053-638-2343,대구광역시 달서구 상인동 1521 상인서한타운,339531.60811,258308.417646
태아일체 다온태권도장,483-8872,서울특별시 서초구 방배동 766-34 덕성빌딩,198512.866027886,443538.696011529
마스터 홍 태권도,051-702-5290,부산광역시 해운대구 좌동 1289-3 장산빌딩,398093.227261236,188652.896011326
성균관태권스쿨,055-296-6009,경상남도 창원시 의창구 북면 무동리 23-1,344097.0,203216.0
다원태권도장,055-285-7007,경상남도 창원시 성산구 남양동 17 우성상가 3층,354621.264993561,191736.14377616
엘마다이어트복싱,263-0907,경상남도 창원시 성산구 남양동 11 남산종합상가 309호,354760.3984306,191812.394332254
백종섭다이어트복싱클럽,055-295-3526,"경상남도 창원시 의창구 소답동 113-8 대웅빌라2층 202,203호",347748.8988946,197065.573392137
삼성태권스쿨,055-253-7112,경상남도 창원시 의창구 봉림동 713-2 5층 501호 봉림상가,351669.195440313,195906.498415034
마산 무덕 유도관,055-251-4480,경상남도 창원시 마산회원구 양덕동 66-8 은혜빌딩 지하1층,343904.083452529,193782.090200425
국가대표 태권도장,055-253-3623,경상남도 창원시 의창구 북면 무동리 145-7,344022.35601778,203170.421671967
명품태권도,243-7929,경상남도 창원시 마산합포구 자산동 299-49 3층,342517.305771688,190414.462491092
한성태권도,053-555-9017,대구광역시 서구 비산동 416-15,341925.287297,264822.733263
I CAN 대성태권도,314-6676,"대구광역시 북구 팔달동 52번지 두산위브2001아파트 상가126동 303호,304호,305호",339258.631613,267573.910916
강인아이 태권도,355-0454,대구광역시 북구 칠성동2가 2-16번지 (3층),343170.209396,266114.291635
칠곡 유도 아카데미,314-8100,대구광역시 북구 동천동 911-6번지,340890.019571,272417.989451
칠곡 강일 태권도,323-2336,대구광역시 북구 관음동 1386-11 (4층),339692.291008,271875.356888
달서권투,053-552-4700,대구광역시 서구 내당동 242-5,340528.408509,263653.855621
영진태권아카데미,053-555-3360,대구광역시 서구 비산동 315번지 한진휴플러스 상가 301호,341635.950998,264476.674215
효자i태권도장,053-565-0543,대구광역시 서구 평리동 656-4번지 3층,341421.266552,265594.057332
