사업장명,소재지전화,소재지전체주소
용인대 정관 유도관,051-728-6535,부산광역시 기장군 정관읍 모전리 741-8
킹콩복싱아카데미,727-4090,부산광역시 기장군 정관읍 용수리 1366-10 제일빌딩 201호
비호체육관,722-7179,부산광역시 기장군 기장읍 동부리 132-1
송강유도관,051-721-0574,부산광역시 기장군 기장읍 동부리 273-14
좌천체육관,051-727-1479,부산광역시 기장군 장안읍 좌천리 134
위더스(With us),051-721-1551,부산광역시 기장군 기장읍 동부리 150-16 명성빌딩
야무진태권도,051-728-2888,부산광역시 기장군 정관읍 용수리 1366-3
칠보체육관,051-721-3341,부산광역시 기장군 기장읍 대라리 160-2
해랑태권도,051-721-8151,부산광역시 기장군 기장읍 교리 14-5
드림태권스쿨,051-727-6070,부산광역시 기장군 정관읍 용수리 1366-1
용인대체육관,051-727-8677,부산광역시 기장군 정관읍 매학리 713-1 정관타워 403호
기장골든태권도,051-721-6868,부산광역시 기장군 기장읍 동부리 152-1
문창체육관,051-721-9962,부산광역시 기장군 기장읍 교리 355-1
행복부부 MBA 태권도,727-4434,부산광역시 기장군 정관읍 방곡리 378 이지더원5차 상가
국가대표 독수리 태권도장,051-727-3217,부산광역시 기장군 정관읍 매학리 713-4 제일타워 1004호
동아대 강한 태권도,051-727-9555,부산광역시 기장군 정관읍 모전리 730 이지 더원 3차 아파트
금빛 차오름 태권도장,051-723-9944,부산광역시 기장군 장안읍 월내리 257-8
용인대 월내 태권도장,051-727-4312,부산광역시 기장군 장안읍 길천리 205-4
아세아 복싱다이어트짐,070-4413-9500,부산광역시 기장군 정관읍 모전리 740-1
리복싱 스포츠 센터,724-1279,부산광역시 기장군 기장읍 동부리 133-1번지
발보사 코리아 팀팍스,051-727-4333,부산광역시 기장군 정관읍 매학리 748-1
국가대표 어울림 태권도,051-727-3289,부산광역시 기장군 정관읍 용수리 1283-5
이용운 검도관,051-728-2024,부산광역시 기장군 정관읍 모전리 741-8
MKB 태권도,728-3310,부산광역시 기장군 정관읍 모전리 741-3
아라한태권도체육관,765-0852,강원도 원주시 명륜동 205-125번지
차오름태권도,748-7997,강원도 원주시 반곡동 1454-1번지
호돌이태권도체육관,764-2877,강원도 원주시 반곡동 1967-3번지
동양체육관,746-0010,강원도 원주시 태장동 579-5번지
치악복싱체육관,761-3334,강원도 원주시 단계동 94-18 3층
경희대 성훈태권도 1관,033-766-6700,강원도 원주시 단구동 1585-3번지
원투복싱클럽(단구점),033-765-1277,강원도 원주시 개운동 441번지 개운1차한신휴플러스아파트
김민제태권스쿨,033-733-9054,강원도 원주시 단계동 1216번지
블랙벨트센터 태권도장,033-763-8484,강원도 원주시 반곡동 1516번지
상지대태권도아카데미,763-5777,강원도 원주시 단구동 1584-2번지 2층
경희태권도체육관,743-1267,강원도 원주시 일산동 345-22
라온태권도장,744-9224,강원도 원주시 태장동 128-1 동보렉스아파트B상가
문막체육관,734-2917,강원도 원주시 문막읍 건등리 1706-7번지
솔향태권도,742-2813,강원도 원주시 명륜동 847-2 현진에버빌3차
THE 힘찬태권도장,761-8910,강원도 원주시 관설동 1720-4
경희대 키움 태권도장,735-6500,강원도 원주시 태장동 478-1번지
강산태권도,748-4534,강원도 원주시 태장동 688-36 5층
세종태권도장,742-7989,강원도 원주시 태장동 2716번지 흥화브라운빌아파트
반곡태권도체육관,735-8910,강원도 원주시 반곡동 1453-3번지
건호태권도교육관,745-9967,"강원도 원주시 무실동 1714 이편한세상(아) 상가108,109호"
나라찬 태권도장,745-5197,강원도 원주시 반곡동 1454-5번지 3층
상지대효태권도,746-8228,"강원도 원주시 단계동 94-18번지 3,4층"
해찬솔태권도장,033-731-4492,강원도 원주시 우산동 175 205호
경희대성훈태권도장(2관),766-8525,강원도 원주시 명륜동 842-1번지
고려대단관태권도,765-8979,강원도 원주시 관설동 1705-14번지
한솔태권도장,033-748-0342,강원도 원주시 태장동 1038-3번지
경희대성훈태권도장,732-2542,강원도 원주시 단계동 111-3
경희대용비태권도,762-1839,강원도 원주시 개운동 441 한신휴플러스 상가3층
태권도평원체육관,744-4166,강원도 원주시 단계동 815-3번지
지킴이태권도체육관,742-6632,강원도 원주시 관설동 1721-2번지
용인대 한라 태권도장,734-0086,강원도 원주시 문막읍 동화리 1536-1번지
금강태권도,748-7839,강원도 원주시 일산동 247-162 3층
예인체육관,762-6321,강원도 원주시 단구동 719-3번지
천도체육관,033-462-4353,강원도 인제군 서화면 천도리 553-2번지
기린체육관,033-461-4233,강원도 인제군 기린면 현리 857-1번지
신남체육관,033-461-1071,강원도 인제군 남면 신남리 301-2번지
횡성검도장,033-342-8686,강원도 횡성군 횡성읍 북천리 115-54
횡성복싱레져클럽,033-345-1279,강원도 횡성군 횡성읍 교항리 116-1번지
둔내태권도체육관,033-344-1129,강원도 횡성군 둔내면 둔방내리 585-3번지
한우리 태권도,033-342-8785,강원도 횡성군 횡성읍 읍상리 615-2번지
청운체육관,635-8961,부산광역시 남구 감만동 316-2번지 (2층)
승리마루 미래태권도장,051-755-1458,부산광역시 수영구 광안동 1069-7번지 2층
명성제1체육관,502-2171,"부산광역시 동래구 온천동 1600번지 새온천화신동영 404,405호"
용인대 대한 태권도장,511-2332,인천광역시 부평구 산곡동 222번지 한신휴아파트상가 205호
부평 한양대 기운쎈 태권도장,518-7536,인천광역시 부평구 청천동 301-29번지
대한권투체육관,032-732-3636,"인천광역시 남동구 논현동 746-3번지 우리들메디타워 601,2호"
용문관,032-467-7337,인천광역시 남동구 구월동 1241-1번지
펀앤펀리더스포츠클럽 태권도장,437-6767,인천광역시 남동구 논현동 744-1 골든프라자 5층
대한상덕관,032-889-8686,"인천광역시 동구 금곡동 14-3번지 , 2층"
당하경희대태권도장,568-2700,"인천광역시 서구 당하동 43블럭 13,14롯트"
금메달 태권도 교육관,032-568-0908,"인천광역시 서구 당하동 44블럭 1,2롯트 대주파크빌 단지내상가 301,302호"
나토얀 태권도장,565-0819,인천광역시 서구 원당동 825-7 삼경프라자 403호
당하사인관(검도),566-0788,인천광역시 서구 당하동 46블럭 3롯트 2층
청수하나태권도장,032-777-4977,인천광역시 동구 송현동 158번지 송현프라자
행복한동행1 명지타이거태권도장,528-2393,인천광역시 부평구 삼산동 389-1 우리빌딩
용인대스타복싱클럽,5698212,인천광역시 서구 불로동 775-15 3층
바른 태권도장,032-567-7989,인천광역시 서구 마전동 1000-1
블랙이글 학익태권도장,861-6700,인천광역시 미추홀구 학익동 698-1번지
도화승리체육관,874-7532,인천광역시 미추홀구 도화동 119-73번지
범진체육관,875-2768,인천광역시 미추홀구 주안동 717-1번지
고려체대태권도,874-4816,인천광역시 미추홀구 도화동 136-1번지
한미태권도스쿨,032-764-1287,인천광역시 동구 송림동 43-12번지
한미제7체육관(태권도),565-5911,인천광역시 서구 금곡동 32-1
경희대 한미 태권도 체육관,567-0334,인천광역시 서구 불로동 328
인천체대태사랑체육관,567-3389,인천광역시 서구 불로동 324-9
경희햇님태권도체육관,565-6008,인천광역시 서구 심곡동 285
우성태권도전문학원,566-8725,인천광역시 서구 연희동 735-1
DS태권도장,032-529-8958,인천광역시 부평구 삼산동 86-12번지
한국체대 에이스 태권도장,032-513-3560,인천광역시 부평구 부평동 132-13번지
송현검도관,032-772-7776,인천광역시 동구 송현동 56-303번지
용인대 한빛 태권도장,873-8123,인천광역시 남동구 간석동 616-24 301호
청룡태권도장,431-2280,인천광역시 남동구 논현동 618-1 새터마을 신일해피트리단지내 304호
스탈릿 백호 태권도장,567-7901,"인천광역시 서구 왕길동 산 144-2 402, 403호"
용인대 미르 태권도장,564-7088,인천광역시 서구 청라동 126-4번지 1층
미추홀복싱클럽,884-1312,인천광역시 미추홀구 용현동 628-76번지
청담덕승태권도,885-6644,인천광역시 미추홀구 용현동 627-534번지
용인대 석사 태권도장,0324461233,인천광역시 남동구 구월동 0번지
리더스 태권도장,032-468-6767,인천광역시 남동구 간석동 939-1번지 래미안자이아파트상가2동 201호
LIM'S I 용인대 태권도장,032-267-5959,인천광역시 서구 원당동 원당 택지개발지구 69-1외 2필지 LG아파트 제상가 1동3층
우리 태권도 체육관,032)573-3375,인천광역시 서구 가좌동 30-132 영프라자 403호
챙스 태권도 아카데미,032)564-9577,인천광역시 서구 당하동 원당지구 95블럭 3롯트 장원프라자 5층
용인대 박사 태권도장(올림픽 본관),462-1123,인천광역시 남동구 구월동 1526-2번지 SJ프라자 501호
경희대 석사 체육관,811-5623,인천광역시 연수구 청학동 451 시대아파트
경희대 태권나라 태권도장,032-831-1445,인천광역시 연수구 옥련동 642-1 한국아파트상가 401호
팀복싱,032-505-3344,인천광역시 부평구 갈산동 364번지
성일GYM 복싱센터,032-424-1010,인천광역시 미추홀구 주안동 1160-6
MTA태권도장,032-885-0103,인천광역시 미추홀구 용현동 664번지 인천 SK Sky VIEW B상가
한국체대 용학태권도장,032-888-1338,인천광역시 미추홀구 용현동 664번지 인천 SK Sky VIEW A-1상가
슈퍼아이태권도장,032-886-0228,인천광역시 미추홀구 용현동 665-4번지
성균관 태권도장,032-434-0070,"인천광역시 남동구 논현동 600-9 상가동 201,202호"
선한검도관,833-9357,인천광역시 연수구 옥련동 462-19 502호
태무라온 태권도,032-571-0117,인천광역시 서구 가좌동 212-16
인천 탑 태권도장,032-566-2534,인천광역시 서구 불로동 193-4
경희대 아이스타 태권도장,032-563-1322,인천광역시 서구 원당동 825-5번지
백석아이스타 태권도장,032-567-1333,"인천광역시 서구 당하동 1090-1번지 검단힐스테이트4차 제416동 제지1층 제비102, 제비103, 제비104호"
용인대 화랑 태권도장,032-891-5551,인천광역시 미추홀구 용현동 627-534번지 신창미션힐
합기도정도관,862-6980,인천광역시 미추홀구 주안동 197-21번지
인천금강복싱체육관,883-1356,인천광역시 미추홀구 숭의동 60-31번지 형제빌딩
크리드 복싱,032-467-1411,인천광역시 남동구 서창동 664-4 401호
ASIA SPOJYM,032-255-5255,인천광역시 남동구 만수동 6-43
서창 백호 용인대 태권도장,032-462-2415,인천광역시 남동구 서창동 639 서창LH3단지상가 2층 202~3호
동남체육관,572-8330,인천광역시 서구 석남동 579-13번지
한양대 인하태권도장,032-465-5579,인천광역시 남동구 서창동 664-1번지 3층
다니엘 주안 태권도,032-865-3220,인천광역시 남동구 간석동 616-76번지
용인대 현대 태권도,813-7778,인천광역시 연수구 동춘동 928 현대아파트
럭셔리복싱클럽,032-811-7207,인천광역시 연수구 동춘동 933-11 백마빌딩 5층
휘트니스 서울,815-0054,인천광역시 연수구 연수동 578-1 세경아파트 상가동 101호
경희대태권마루태권도장,516-1622,인천광역시 부평구 산곡동 124-84번지 대우프라자 4층
호랑이 태권도장,032-519-1777,인천광역시 부평구 산곡동 274-3번지
경희대 국가대표 태권도장,818-4318,"인천광역시 연수구 동춘동 941 대동아파트 상가동 209,210호"
태풍태권도체육관,032-822-0112,인천광역시 연수구 청학동 475 이수빌딩 2층
경희대 도담 태권도장,812-0202,인천광역시 연수구 연수동 578-3 402호
연수복싱체육관,811-9300,인천광역시 연수구 연수동 596-7 파크타운 306호
금메달체육관(태권도),572-4756,인천광역시 서구 가정동 515-6번지
석남 백호 태권도장,575-8302,인천광역시 서구 석남동 471-2
한미체육관(태권도),032-578-6306,인천광역시 서구 가좌동 361-1번지
용인대아이원태권도,874-3033,인천광역시 미추홀구 학익동 721번지
하나태권도,862-2262,인천광역시 미추홀구 도화동 543-10번지
인하코리아태권도,441-5770,인천광역시 미추홀구 주안동 56-4번지
고릴라 복싱,472-0309,인천광역시 미추홀구 주안동 1460-6번지
관교용인대태권도장,422-5246,인천광역시 미추홀구 관교동 501번지
가야체육관,032-462-4312,인천광역시 남동구 만수동 5-317
경희대 액티브 태권도,032-578-6324,인천광역시 서구 석남동 587-48번지
엘리트 태권도장,032-565-0821,인천광역시 서구 심곡동 337-6
태무한신태권도장,581-0873,인천광역시 서구 가정동 546
빡 복싱클럽,575-3547,인천광역시 서구 석남동 539-2 5층
하나태권도체육관,579-4646,인천광역시 서구 가정동 341-14
정부경유도관,032-505-7662,인천광역시 부평구 삼산동 459-4번지
송도 한미 태권스쿨,831-8688,인천광역시 연수구 옥련동 643-2 풍림상가 401호
다인복싱체육관,822-2443,인천광역시 연수구 선학동 401 우영빌딩 301호
TK태권도장,821-0125,인천광역시 연수구 송도동 149번지 롯데캐슬 캠퍼스타운
올림픽체육관,937-5667,인천광역시 강화군 길상면 온수리 508-4번지 올림픽태권도체육관
대한체육관,032-932-9838,인천광역시 강화군 강화읍 신문리 205-2번지
검단김도성검도관,032-568-7772,인천광역시 서구 당하동 1092-10번지 502호
국가대표 백호 태권도장,032-569-6655,인천광역시 서구 마전동 652-13 검단2지구 23블럭 6로트 힐스테이트 상가2 202호
인하대 한우리 태권도장,563-6122,인천광역시 서구 마전동 1001-4 검단2지구 26블럭 4롯트 (3층)
한국체대 영우태권도,032-565-0966,인천광역시 서구 경서동 728-3 대명프라자
한체대 석사 태권도,032-564-2040,인천광역시 서구 왕길동 661-1 상가동 301호
경희대현대태권도장,032-561-4552,인천광역시 서구 당하동 원당지구 97블럭 10롯트 명진프라자 201호
백호태권도체육관,429-7741,인천광역시 미추홀구 주안동 913-1번지
엠에이스 태권도체육관,881-8884,인천광역시 미추홀구 도화동 90-9번지
연세 이글 태권도,865-9700,인천광역시 미추홀구 학익동 209-3번지
정화 태권도장,032-883-6050,인천광역시 미추홀구 숭의동 243-9번지
가온 태권도장,032-422-8733,인천광역시 남동구 간석동 194-1
준 태권도장,579-7240,"인천광역시 서구 가좌동 30-69 라이프쇼핑센타301,302호"
용인대연무태권도체육관,578-4964,인천광역시 서구 가좌동 139-8
한양대 우리 태권도장,536-0861,"인천광역시 서구 마전동 917-4 도깨비마트, 위드십자가"
인하태권스쿨,504-7744,인천광역시 서구 마전동 검단2지구 25블럭 3로트
강인 검도관,891-9880,인천광역시 서구 당하동 1028-2번지 장원프라자 지하 01호
국가대표 한국체대 태권도,567-5207,인천광역시 서구 마전동 마전지구 23BL-12LT 세창프라자 4층
연세태권스쿨,578-6006,인천광역시 서구 석남동 593
강남태권도장,032-525-5565,인천광역시 부평구 부평동 497-1번지
한국체대 새나라 태권도장,032-518-8255,인천광역시 부평구 부개동 496-19번지
갈산용인대태권도체육관,032-513-7780,인천광역시 부평구 갈산동 369 203호
부개 팀 타이거 복싱 짐,032-505-1282,인천광역시 부평구 부개동 85-1 4층
글로벌 리더 체육관,832-7006,인천광역시 연수구 송도동 21-9번지 글로벌시티프라자
승룡종합체육관,032-932-8085,인천광역시 강화군 강화읍 갑곳리 432-10 승룡태권도학원
강화검도관,934-1103,인천광역시 강화군 강화읍 갑곳리 79-0001번지
강화 태권도장,932-1234,인천광역시 강화군 강화읍 관청리 465번지 중앙사진관
용인대 다온 태권도장,032-933-5584,인천광역시 강화군 강화읍 갑곳리 170-4번지 알미슈퍼
청라유도체육관,032-561-6115,인천광역시 서구 청라동 161-3번지 303호
흑추관 화랑도장,561-8229,인천광역시 서구 연희동 710-7
마음누리 태권도장,569-1239,인천광역시 서구 가정동 605-6번지 4층
민앤 마이노 멀티짐 유도 주짓수,032-278-0507,인천광역시 남동구 간석동
한상기 합기도&주짓수,032-710-7353,인천광역시 서구 청라동 102-2번지 청라한양수자인 201~205호
비상태권도장,032-555-2012,"인천광역시 서구 가정동 619-3 대건프라자 601,603호"
국가대표코리아태권도장,032-252-5252,"인천광역시 연수구 청학동 450 서해아파트, 상가동 2,7,8,9,10호"
연무검도관,822-7222,인천광역시 연수구 동춘동 937-11 상산프라자 401호
연성태권도장,814-0004,인천광역시 연수구 동춘동 924-3
우리 익스트림 태권도장,032-834-3553,인천광역시 연수구 옥련동 637-1 현대상가 201호
용인대제일태권도,851-2243,인천광역시 연수구 송도동
키즈연세태권도장,212-8181,인천광역시 연수구 송도동 3-5 502호
청우태권도,816-2323,인천광역시 연수구 동춘동 918 조흥상가 2동
선랑태권도,032-812-1817,인천광역시 연수구 연수동 634 우성2차아파트 유치원동 지층
인재원,867-7764,인천광역시 미추홀구 주안동 750-5
검도스쿨산곡관,502-0902,인천광역시 부평구 산곡동 124-25번지 전방프라자 501호
서곶 JW 태권도장,561-0665,인천광역시 서구 심곡동 323-1
용인대 한국 체육관(태권도),577-9764,인천광역시 서구 석남동 450
태무영우태권도,565-0885,인천광역시 서구 심곡동 257-5
꿈나무 태권도장,575-2474,인천광역시 서구 가좌동 30-99
북경무술관,032-763-9282,인천광역시 동구 송림동 55-152번지
행복한태권도장,032-766-6010,인천광역시 동구 송현동 66-26 동부센트레빌 상가
액션리액션 아카데미,032-518-3171,인천광역시 부평구 부평동 546-93
라이온 체육관,032-515-3002,인천광역시 부평구 부평동 18-16번지 2층
SM복싱클럽 6관,032-521-2244,인천광역시 부평구 산곡동 391-48번지
백호태권도장,032-522-2014,인천광역시 부평구 부평동 950
옥련 복싱 클럽,832-7989,인천광역시 연수구 옥련동 194-4 B21호
호룡 복싱클럽,832-4116,인천광역시 연수구 옥련동 357-4 삼선프라자 2층
K용인대 태권도,834-3336,인천광역시 연수구 송도동 20-3 풀러스에비뉴 502호
연수선학동주짓수 선학무짐,1899-7287,인천광역시 연수구 선학동 408-3 4층
경희대MTA 태권도장,032-816-1155,인천광역시 연수구 송도동 190-2 글로벌캠퍼스푸르지오 상가 205동 201.2호
송도 크로스핏,831-2546,인천광역시 연수구 송도동 3-31 마린프라자 B01호
송도 경희대 태권도,833-7771,인천광역시 연수구 송도동 19-5 송도푸르지오하버뷰 상가 205.206호
아인스 유도관,851-4500,인천광역시 연수구 송도동 20-14 플러스원프라자 502호
경희대i스타태권도장,812-0023,"인천광역시 연수구 송도동 149 롯데캐슬캠퍼스타운 301동 301,2호"
석사체육관,864-1745,인천광역시 미추홀구 주안동 677-4번지 금호빌딩
도산태권도장,424-7680,"인천광역시 미추홀구 주안동 1250-1번지 1250-1,1367-85"
태풍태권도체육관,362-0856,인천광역시 부평구 부개동 502-5번지
우성경희대태권도장,517-7979,인천광역시 부평구 산곡동 294-35번지 우성상가 306호
동남태권도장,816-6404,인천광역시 연수구 동춘동 943 동남아파트
한국체대 태권도장,816-0087,인천광역시 연수구 선학동 353번지 아주.대동상가 208.2호
연수 한미 태권도장,815-4230,인천광역시 연수구 선학동 357-1
태무강한 태권도장,566-4606,인천광역시 서구 검암동 597-2 인프라자2층
백호태권도장,815-7739,인천광역시 연수구 동춘동 925-7
체대해성태권스쿨,032-764-6642,인천광역시 동구 송림동 60-80번지
서창체대 태권도장,468-6584,"인천광역시 남동구 서창동 554-1 서창프라자 303호, 304호"
용인대 도림 태권도장,433-6111,인천광역시 남동구 도림동 248-7
학사태권도,032-465-1832,인천광역시 남동구 서창동 559-8 2층
행복한용인대태권도예절관,032-465-3277,인천광역시 남동구 서창동 560-2 서창임광그대가아파트 상가 201호
용인대 가정 체육관(태권도),032)577-8630,인천광역시 서구 가정동 565-2 재능상가 3층
차오름태권도 체육관,421-2480,인천광역시 남동구 구월동 1150-14 3층
경희대 논현 태권도장,442-0990,인천광역시 남동구 논현동 604-1 신영지웰상가 제B108호
간석 성신 태권도,032-421-0010,인천광역시 남동구 간석동 153-6 403호
인천대 월드 태권도,032-465-3663,인천광역시 남동구 장수동 783-10
갈산복싱클럽,032-362-2213,인천광역시 부평구 갈산동 171-45번지
삼산미추홀검도관,032-361-0041,인천광역시 부평구 삼산동 391-3번지
메가스태권도장,032-517-1095,인천광역시 부평구 부평동 10-878번지
한국체대 힐캐슬 태권도장,032-464-8787,인천광역시 남동구 구월동 1200-2번지 퍼스트프라자 501~3호
소래검도관,032-442-2112,인천광역시 남동구 논현동 752-3번지 401호
인하엘리트태권도장,032-464-6234,인천광역시 남동구 서창동 686-3번지
신대한 경희대 태권도장,032-438-4556,인천광역시 남동구 구월동 1115
용인대브니엘체육관,032-467-2222,인천광역시 남동구 만수동 25
한국체대파워태권도장,032-464-3962,인천광역시 남동구 만수동 967-13
승리태권스쿨도장,032-425-8960,인천광역시 남동구 간석동 607-12번지 (3층)
해광태권도 우리아이 태권스쿨 秀,032-562-6779,인천광역시 서구 청라동 103-2번지 청라골드클래스 2층 상가동
송림미르태권도장,032-766-7611,인천광역시 동구 송림동 11-102번지
수원대유정민태권스쿨,032-777-0046,인천광역시 동구 송현동 66-194번지
용인대태권도장,508-2009,인천광역시 부평구 산곡동 산 37-4번지 현대상가 402호
브니엘태권도장,818-1954,인천광역시 연수구 연수동 634 연수우성2차아파트 상가동
송도유도체육관,832-1365,인천광역시 연수구 옥련동 354-40
현대체육관,831-4111,인천광역시 연수구 옥련동 462-19
연수검도관대한검도회,032-815-9357,인천광역시 연수구 연수동 568-12
바르체용인대체육관,832-6505,인천광역시 연수구 옥련동 634-1
학사체육관,818-0044,인천광역시 연수구 연수동 576 태산아파트
엘리트 신성 태권도장,032)561-5071,인천광역시 서구 왕길동 636-4 테마빌딩 4층
현대 경희대 태권도,032)5650203,인천광역시 서구 원당동 72블럭 4롯트 제일프라자 4층(404호)
경희대 나래 태권도,032-433-9993,인천광역시 남동구 논현동 733-130 RC 5블록 8로트
박사 엘리트 태권도,032-434-7755,인천광역시 남동구 간석동 893-2 3층
하나용인대태권도장,887-0218,인천광역시 미추홀구 용현동 558-11번지
고려용호태권도,875-9893,인천광역시 미추홀구 주안동 1445-3번지
원무태권도 도장,462-9420,인천광역시 남동구 만수동 862-2
경희대 월드 태권스쿨,442-0997,인천광역시 남동구 논현동 649-3 아름다운타워 704호
인하연안태권도장,882-6289,인천광역시 중구 항동7가 58-46번지 4층
한성태권도장,883-5119,인천광역시 미추홀구 용현동 565-96번지
엘리트 태권도장,032-462-6234,인천광역시 남동구 만수동 1039-7 201호
용인대체육관(태권도),565-1514,인천광역시 서구 심곡동 331-5
정석태권도장,564-2920,인천광역시 서구 심곡동 259-6
K타이거즈 백호 태권도장,032-577-7179,인천광역시 서구 신현동 308-9번지 301호
가좌동 스탈릿 백호태권도장,032-582-2221,인천광역시 서구 가좌동 308-1번지 JK프라자 502호
엔젤태권도장,032-766-1117,인천광역시 동구 송림동 339 송림풍림아이원아파트 402동 201호
석사청량체육관,817-0707,인천광역시 연수구 동춘동 924 현대대림 2차 상가 2층
경희대석사태권도장,851-1317,인천광역시 연수구 송도동 2-6 송도프라자 701호
승찬검도관,858-3569,인천광역시 연수구 송도동 3-6 아크리아 I 408호
용인대국가대표태권도스쿨,032-858-0037,"인천광역시 연수구 송도동 3-6 아크리아Ⅰ 601호, 602호"
용인대 정훈 태권도장,032-813-3838,인천광역시 연수구 연수동 582-2 솔밭마을아파트 상가동
용인대 더 레전드 태권도장,874-0676,인천광역시 미추홀구 학익동 48-1 신동아아파트
한체대힘찬태권도체육관,885-3515,인천광역시 미추홀구 용현동 627-40번지 금호타운
관동대코리아태권도,885-8715,인천광역시 미추홀구 용현동 627-47번지 한국아파트
정도체육관,864-6458,인천광역시 미추홀구 주안동 14-53번지
문학미르태권도전문체육관,424-8247,인천광역시 미추홀구 문학동 391-4번지
용인대 TOP태권도장,032-472-5224,인천광역시 남동구 만수동 1114번지 분산상가 201~202호
쥬니어 뉴 스포츠클럽,032-461-2322,"인천광역시 남동구 구월동 20 구월힐스테이트아파트3단지상가 206,207호"
경희대 품희 태권도장,032-461-7301,인천광역시 남동구 만수동 38 2층
최강 백호 태권도장,0328511005,인천광역시 남동구 논현동 752-1 에코프라자
JUMP 태권도,032-762-7228,인천광역시 남동구 서창동 547-6 프라임 301호
신-코리아태권도,583-3389,인천광역시 서구 가좌동 186-11
김태규 복싱헬스,032-467-1212,인천광역시 남동구 만수동 862-2번지 (4층)
인재태권도,577-8630,인천광역시 서구 가정동 565-2
국가대표 경희대 대동 태권도장,562-0025,인천광역시 서구 심곡동 286-4 2층
경희대불로키즈태권도장,564-2903,인천광역시 서구 불로동 308
즐거운베스트태권도,567-8342,인천광역시 서구 검암동 628 삼보@상가2층
아이사랑 태권도장,565-3339,인천광역시 서구 검암동 513-1 힘찬프라자 401호
연세엘리트체육관(태권도),561-7973,인천광역시 서구 검암동 508-1 장은프라자 4층 409호
21세기체대태권스쿨,862-8557,인천광역시 미추홀구 용현동 3-29번지
한국체대하나태권도장,032-832-3030,"인천광역시 연수구 옥련동 194-107번지 그린뱅크, 2층"
한양대 베스트 태권도장,032-817-7072,인천광역시 연수구 연수동 577
하랑태권도장,822-5386,인천광역시 연수구 선학동 355 3층
경희대TOP태권도장,832-6565,인천광역시 연수구 송도동 192-8
경희대석사아이스타태권도장,032-833-1322,인천광역시 연수구 송도동 111 209~211호
송도국제 경희대 태권도장,032-859-7400,"인천광역시 연수구 송도동 21-4번지 더파라곤 401,4호"
용인대 창비 태권도,032-469-5678,인천광역시 남동구 만수동 1114 407호
경희대석사 백두산태권도,032-435-1009,인천광역시 남동구 간석동 505-17
연세태풍 태비태권도,032-461-4846,인천광역시 남동구 만수동 49
유신태권스쿨태권도장,032-467-0710,인천광역시 남동구 만수동 1042 광명상가 402호
용인대 아이짐 태권도장,032-469-3286,인천광역시 남동구 간석동 144-7 2층
현s 복싱클럽,032-469-1615,인천광역시 남동구 구월동 1214번지 501호
용인대SM복싱클럽 만수점,032-472-1995,인천광역시 남동구 만수동 947번지 2층
한빛 태권도장,032-424-5557,인천광역시 미추홀구 관교동 514-2번지
경희대 멘토 태권도장,032-883-1130,인천광역시 미추홀구 용현동 572-3번지
한철민복싱클럽,888-2008,인천광역시 미추홀구 용현동 627-325번지
용인대SM복싱클럽도화점,032-866-7920,인천광역시 미추홀구 도화동 106-3
수년복싱체육관,032-442-0002,인천광역시 미추홀구 주안동 1005-5번지
관교용인대태권도장(2관),227-5246,인천광역시 미추홀구 관교동 500-13번지
정도 태권도,564-0822,인천광역시 서구 마전동 검단1지구 38블럭 1롯트(2층)
천마복싱클럽,575-6831,인천광역시 서구 가좌동 84-5번지 (지하층)
드림태권도 스포츠클럽,568-1229,인천광역시 서구 당하동 원당지구 97블럭7롯트 그린프라자 401호
용인대복싱클럽,032-431-9898,인천광역시 남동구 논현동 768-3번지
용인대 국가대표 태권도장,032-467-1773,인천광역시 남동구 서창동 707-1
남동 백호태권도장,032-583-1005,인천광역시 남동구 간석동 225-47
서해검도관,818-7861,인천광역시 연수구 동춘동 925 한양상가 401
경희대 창덕 태권도,816-5873,인천광역시 연수구 동춘동 931 무지개상가 3층
삼성체육관,817-6537,인천광역시 연수구 선학동 386-4
동구 유도관,032-425-8895,인천광역시 남동구 간석동 285-5번지
김상덕 검도교실,032)465-9372,인천광역시 남동구 만수동 948-3번지
국가대표태권도,751-0320,인천광역시 중구 운서동 2788-2번지 금호베스트빌상가 2층(205~210호)
경희대 올림픽 태권도장,032-752-1988,인천광역시 중구 운서동 2745-2번지 풍림아파트 108동상가 201호
인하서체육관,032-466-1782,인천광역시 남동구 논현동 563-7
경희대 백호 태권도장,032-442-9996,인천광역시 남동구 논현동 617-1 성지타워 5층
학익휘트니스권투클럽,205-5512,인천광역시 미추홀구 학익동 661-1번지
용인대태권나라,435-5558,인천광역시 미추홀구 주안동 892-1번지 두산주상복합아파트
다인복싱클럽,865-0096,인천광역시 미추홀구 주안동 19-23번지
용인대석사복싱,833-2151,인천광역시 연수구 송도동 3-27번지 은진프라자
송도 파워점핑 줄넘기&태권도,832-4455,인천광역시 연수구 송도동 19-7번지 송도자이하버뷰2단지아파트
퍼스트 아이 태권도장,832-0432,인천광역시 연수구 송도동 98-2번지 송도아라플라자 301호
한국체대 점프태권도장,330-3040,인천광역시 부평구 삼산동 445-5번지 두산@2단지상가2층
한국체대 천지태권도장,502-9448,인천광역시 부평구 일신동 108-25번지 유한빌딩 3층
인성태권도장,032-515-8574,인천광역시 부평구 부개동 12-205
멘토 태권도 하는 아이들,032-463-5142,인천광역시 남동구 만수동 5-9 201호
